Comments,Ratings
"Classes were always interesting, especially when he talked about his own crazy personal experiences. Books were good except for the last one which was hard to understand. MAKE SURE TO READ FOR CLASS!!! You can't bs having read and not having read and its a big deal in his class. Grading wise hes great, and as long as you try you'll get at least a B",1.0
"He's a pretty easy grader. He went over ""how to make an argument"" for an entire class, so if you're an English major he'll probably think your essays are awesome. He wastes a lot of time going on about certain scenes in the novels that aren't that important. Did NOT get to all of the books on the syllabus. BUT as a person, he's really really cool.",1.0
"Mr. Freeburg is one of the funniest, most personable teachers i've ever had. he is such a joy to be around. i truly think he is one of the most AMAZING teachers at U of I. he is so passionate about african american literature, and he is so REAL with his students. You would be LUCKY to have this professor. He's awesome.",1.0
One of the best classes I ever had!!!!!,1.0
"
                      Professor was tough.  I learned a lot.  Take him if you want your money's worth from an English degree.
                  ",0.0
"Good class. The lectures are kind of dull, but it's worth the points. The study guides are the actual exam give or take some questions. Furfills a gen-ed... TAKE IT",1.0
"Great class!The lectures can be dull, but it's worth going. He is a funny guy, and the test study guide was the actual exam, give or take some questions. Good class, Furfills a ged-ed, so TAKE IT!",1.0
"A very nice guy in general, and very knowledgeable about the topic and its downfalls/rough spots. The only assignments were 3 tests, which is good AND bad. Not many other points to pad your score if you don't do well on the exams.",1.0
Easy and interesting class. 3 tests and 1 paper. Reading the book alone without going to lectures and discussions almost guarantees an A. Too bad only 8 absences were allowed. I wouldn't depend entirely on the ppt for tests. Depend on the book instead.,1.0
"Good gen ed.He lets you skip 8 classes ""don't ask don't tell"" style, which sounds good, but you'll want to skip EVERY class. No required homework ever. Tests are easy, I studied only the powerpoints the night before without looking at any material previously and ended up with a B+ in the class. One easy 3 page paper. No final. Sorin's a good guy",1.0
"Sorin is an awesome guy who really tries to go out of his way to help his students. He loves what he teaches and you can tell. Really easy A if you go to class and go over the slides before the test. No homework ever, just recommended. Course content is actually kind of interesting too if you pay attention. Perfect gen ed.",1.0
"He is a really nice and very friendly guy.  I enjoyed the lectures and topics and the entire atmosphere of the class.  If you are looking for a relaxed class to cover interesting (at least to me) content, he is the guy to take this class with.  I wish all my gen eds were like this one.",1.0
Fantastic professor.,1.0
"Had good fun! Soren is a nice guy you have to show up and do your homework. The tests aren't hard, but you can make silly mistakes.",1.0
"A great professor, interested in the material and not altogether boring. You don't have to attend every lecture, but make sure you go over the slides. A really friendly guy, always in a good mood. Grades based on a couple of exams and two papers. Philosophy writing is different than other forms of writing, keep that in mind.",1.0
"Loved how he explains stuff and that he is noot hard on students. But he is nice and approachable, answers the emails",1.0
Excellent teacher for Logic and Reasoning. Wants his students to be the best they can be. Very fair. Easy to talk to and VERY smart.,1.0
"Soren is a cool teacher who is able to relate his teachings to everyday things that you can relate too. He always kept me interested If you pay attention, then the class is fun",1.0
Love this class!,1.0
"This is an easy class to pass if you attend. He is a very good teacher, explains everything and his tests are easy to pass as long as you have a book and read.",1.0
Easy but interesting class. You can win extracredit too - loved it!,1.0
"Great class, great professor! The material in itself is  interesting but he puts a nice spin on it and his lectures are quite entertaining. Incredibly helpful and enthusiastic. Always there to talk and advise on papers. Workload is so-so, but pay attention in class!",1.0
"Sit in this intro class more out of curiosity first, but ended up loving it. Bright lecturer, great slides, funny examples! Went to office hours and Bangu turned out to be the sweetest guy on earth, he spent 2 hours with me going through the whole course.",1.0
cool!,1.0
"
                      The epistemology class I took with Dr Sorin was one of the best experiences in this university. I thoroughly enjoyed our debates and learned a lot! Sorin is a very dedicated teacher who cares about his students.
                  ",1.0
"He seems like a nice guy, but I had to drop the class because I couldn't deal with reading 100+ (usually very dry) pages a week. And then having to discuss them in detail for 3 hours straight. My ADHD just could not keep up lol.",1.0
"Genuinely nice and caring guy, but awful teacher in my opinion. The class isn't necessarily hard at all but it has four group papers which are never fun in a gen ed. He also revolves lectures and exams around his own personal experience rather than more general anthropology.",0.0
"Very poor lecturer, was very boring, and didn't learn too much. I found the easiest way to succeed was to just memorize his exam study sheets like a mad man. The test were just regurgitating info back. As far as electives go, this was terrible, group projects were dumb, and graded in an almost nonsensical way.",0.0
"This class was the worst one Ive taken at this school so far. Youre only graded from two tests, 4 projects, and your final. The group projects were very boring and it was also hard to stay awake during lecture. He reads from topics from a sheet and makes the content seem more complicated than it is. He also does not explain the content well.",0.0
Definitely did not like this class. Every time I went to it I almost fell asleep. He drones on and on and you don't know what to write down for the exams. The papers were graded overly hard and the books and readings were intense.,0.0
"Try to avoid him! He didn't do much for any students. Lectures were hard to follow, exams fairly difficult, too much arbitrary grading. Received a grade that ended in -9.96, and he refused to round. Thinks he's a big shot, really didn't enjoy his attitude toward students. Overall, makes life difficult for a gen ed course.",0.0
Professor Orta is fairly good at his job. Lectures are not listed as mandatory but for a good grade they are. I was more disappointed with his TA selection for discussion sections than anything else,1.0
Though lectures aren't mandatory you must go or else you will fail tests. Take notes verbatim from his slides and pay attention in discussion. The topic isn't too hard but he is very specific on tests!,1.0
"Orta's lectures are a must: try not to miss any, as the exams are heavily based on them and if you don't want to be cramming last minute to figure out all the material, just GO TO THE CLASS! His lectures are a little hard to follow because he kind of reads from his sheets but I have learned a lot from his class. 3 five page writing assts & 2 exams.",1.0
"This professor is terrible! The test are very hard. There are a few multiple choice (worth a lot of points), fill in the blank, and 2 essays which you have to do in 40 minutes because he hands out the test late. He is boring, old school, and confusing. He doesn't give out busy work, or any assignments for that matter. 3 test and a term paper.",0.0
"I'm not sure what the other reviewers are talking about. His exams are super straightforward. He gives a ""word list"" prior to each exam, and if you know all the definitions, you'll get a 100%. Readings are all discussed in class, so you don't have to do them. Exams only require 5/6 questions to be answered per page, too, making them extra easy.",1.0
Professor Orta is a very old-school professor who relies on slides and lectures during his classes. There is a lot of reading but a lot of it is interesting so it is not hard to get through. He provides studyguides before every exam and there are only 3 exams.,1.0
"Do not take this class with this professor. He is absolutely terrible. You have 3 test and a term paper and that is it. He does not offer any extra credit and the test are very hard even if you study. He is a terrible teacher, he gives out no study guides and does not try to help his students pass the class.",0.0
"Lots of readings, but if you go to class you can do well without them. Class is interesting, tests mainly focus on general themes. DO NOT take pictures of his slides.",1.0
"Teaching style reminds me of a high school teacher. He knows a lot about his subject, but expects students to write down what's on his power point slides while listening to what he is saying. One of the most ineffective ways of presenting material. Just don't take this class with him. Choose another Anth103 prof. 103 is supposed to be really easy.",1.0
"This guy doesn't want us to succeed in his class at all. Too many readings, doesn't go through all of them, useless slide outlines posted online (which are actually just the slides without the content and only the titles) and we can't even take pictures of his slides even though he talks much more than what's on the slides. Avoid him for this class",0.0
"Terrible class. He is a bad lecturer and when you ask a question he never gives a direct answer, so you usually end up more confused than you were before. His tests are very hard and there's no good prep for it. Requires too many readings-3 books at once. I would avoid a class with him.",0.0
"I never really go to class, and got As on the tests. Studying in needed and his tests are kind of weirdly structured.. Interesting class though.",1.0
"I took prof. orta's anth 430 last spring. You will learn/read so many important authors in this class. Hes great for advice/consulting on papers. One word of advice though: the readings are really intense.. but if you can work through it, the class isnt over-bearingly hard. its heavily relient on discussion though.",1.0
"
                      I took Prof Orta's class last year and he is great. Sure, he may be ""dull."" but he is very smart and a great lecturer. Honestly, he is probably one of my favorite professors at this institution and deserves more recognition
                  ",1.0
"She is very nice, and very smart. She sometimes struggles with the microphone or projector. However, if you listen to what she has to say about the subject matter, it is very clear and well communicated. Excellent professor. She is also a very nice person in general. She cares for her students.",1.0
I felt like 90 minutes for exam is impossible task. Exam was very long.I really hate this class.,0.0
"Her lecture was crystal clear and everything, but GOD DAMN. However, online quizes, problem sets, AND labs that take hours to complete is a bit excessive, and a lot of it is unnecessary. After all these years in the department, I think she would have realized by now that this isn't our only class. Thank god this class is being replaced.",1.0
"If you go to class and stay on top of the material, ECE 290 is not a hard class. It's just very time consuming. The class may be a lot of work, but it's not busy work, you learn a crap load. Hard class, but fair and very competent professor.",1.0
She probably needs to just go away. Forever.,0.0
"Her lecture is crystal and clear, however, I don't like she use quiz every lecture to force u go to class. She is too strict on hwk and format, which makes written hwk extremely painful, it took me avg 6,7 hours to finish one written. And she is very rude and weird on compass board, she almost never replied my post",1.0
"Ugh, most painful academic experience of my life. Written homework SUCKED. Took so long to do and often confusing. She was often rude on the web board which I thought was unacceptable. Exams were pretty tough but not quite as bad as the homework. Still, exam averages were around 60%. This is basically the epic **** work of the ECE major.",0.0
Brown life does not stop at ECE Illinois that is all I can say. Let me tell you: <<What goes around comes around>>,0.0
This woman is very old. She needs retiring. She focuses much on failing the students. If your are an average student please take this class during the summer to avoid her. Only geniuses needs to enroll with her. The exams are very tough and just an 1H30min. Please think again if you are planing to take this course with her.,0.0
"She is a very hard professor, but she knows what she is talking about.  ECE290 is one of the hardest, if not the hardest course to take as an ece underg at uiuc.  The difficulty of the exam is about the same as the written hw, not cool!  It is tough! Since the hw would probably take u 6 or 7 hrs to do, and u only have 90 minutes on the exam.",1.0
so hard,0.0
"Very unprofessional. You ask her a question about something that she never covered in the course material and the answer is invariably ""you should already know the answer to that."" You are better off going directly to the TAs. Overall, plan on spending a lot of time teaching the material to yourself.",0.0
"Yeah, of course, good prof. at UofI which has prestige eng school, but hard, sucks for those who aren't bright, tests are freaking hard given by her, sign... I read all comments left by others, none of them are useful for those who aren't that bright, My recommendation is take the course over the summer, it's much much easier, that avoids her! yo!",1.0
"Very clear in what she says, but the exams and the homeworks are hard and you need to give it time to do well.",1.0
"she's tough.  written homework is ridiculously long and vague.  Other than that, she seems to know what she's doing",1.0
Very organized.  I learned a lot from her.  It was a lot of work but worth it.,1.0
"There's no question she's a tough professor, but in the best way possible. But, when you come to a tough engineering school, tough is what you get. The rigorous treatment in digital logic design gave me a rock solid foundation in the topic. Combine that with ECE385, and you've got some killer skills",1.0
"I thought she was a good lecturer, at least by the standard the ECE department sets.  Unfortunately, many students found her homework assignments to be very vague.  However, she is a very helpful prof, and the assignments were usually made clear after lengthy discussion on the message board.",0.0
Overall a good professor.  She was pretty clear in her presentation of the material and the exams are pretty consistent from year to year (read: use the practice exams!).,1.0
"
                      Great professor! Class is hard though.
                  ",1.0
"Pete is an amazing teacher and leader, he has done an incredible job with the Marching Illini and inspires students to forever carry on the great traditions of Illinois. Down with Rumbelow!",1.0
Easily the best musician and teacher I've ever had the privilege of working with.,1.0
Pete is a wonderful director and professor.  He is a must for all classes including Marching Illini.,1.0
"**INCREDIBLE** professor, conductor, and person. Truly one of the greatest people and directors you will come across in your life. His passion for his bands and university is matched only by his infinite musical knowledge and teaching ability. Dr. Griffin is the last truly great music educator left at UI - take all of his classes while you can!",1.0
Awesome professor.  Phenomenally organized and brilliant.,1.0
You like that??? Well here's some more!!!! How can you not like Pete? Whoever wrote the comment earlier about Pete not doing his job CLEARLY lied and has never had a class with him.,1.0
"awesome, i love MI",1.0
"AWESOME!!!  Story time, aww...",1.0
"I love Pete! He is FANTASTIC! I have never had a better professor. He loves his job, his students, and he has the best stories ever. :))",1.0
"Very good director.  Knows his stuff, and really gets the most out of the pieces.  Very approachable as well and has good stories.",1.0
"Pete has been one of the biggest influences on my life and I'm so glad that I had the opportunity to study with him when I did.  He's an absolutely stunning conductor on the podium, very sharp and witty, humorous, driven, and yet still one the best family men I know.  His character takes him to where regular band directors cannot even go.",1.0
Phenomenal teacher.  Very challenging.  Knows his stuff better than anyone I've met and applies it in many different ways.  I'm very excited for him to conduct the Marching Illini in the fall!,1.0
"Excellent teacher, I have learned a lot about teaching from him in his conducting and the way that he directs a band.",1.0
A great influence on my life.  A wonderful teacher with a love for his students.  Thanks Pete!  (And I rated you HOT!),1.0
"BEST BAND DIRECTOR EVER!!!!!!!!!! hilarious, excellent conductor, and makes music the oasis of your day.",1.0
Pete tells the best stories ever!  He makes band fun!,1.0
Choose the best band repertoire and is very helpful with criticism.  My most memorable band experiences!,1.0
"Pete chooses the best band literature, and is a fabulous conductor!",1.0
No Comments,1.0
"
                      Obviously none of you have ever had a REALLY good band director!
                  ",0.0
"The professor is annoying to watch lecture, and often went off on boring tangents, repeated himself, or lost track of what he was doing in the middle of a presentation. I really hated going to this class. That being said, the class was at a great difficulty for a gen ed  makes you work & think a bit more than the stupidly easy ones.",0.0
"He likes to interact with students on a personal level, which is unfortunately impossible in a lecture of 200+ students. I know this because I made an effort to talk to him and have observed him interacting with other enthusiastic students. Though this is an easy course, if you do not like Japanese culture, you will be bored. Don't take it then.",1.0
I'm not sure he knew what he was talking about on the classes.,0.0
the professor is passionate about Japanese culture.,1.0
"He is very helpful and makes great effort to know his students as people, as long as you make a slight effort to get noticed. Exams are relatively easy, and I always got more on my essays than I expected.",1.0
"rambles too much about irrelevant everything, exams are easy if you MEMORIZE LECTURE SLIDES. seriously. pop quizzes are nightmares and make attendance mandatory. only thing good about quizzes is that he said some problems on exams come straight from them, so they're good study material. says japanese terms too much without translating. easy-isshh A",1.0
Very boring professor any one encountered. Grades depends on ta who have no idea whats going on within the class. The exams are tricky for the most of the part.,0.0
Pop quizzes without any announcement before hand so every one have no idea about what will be on it. Most of the time every one did horribly on it. The textbooks and readings are not necessary to read. You can study on your own on days which have no quizzes. Boring and confusing class after all.,0.0
His class is might too hard in terms of a non western general education class. The quizzes he gave make students feel no clews. Like miss 1 points can hurt your grades badly enough. The grades depends on tas he selected who as well have no clews. He also makes you the impression of he is teaching a Japanese language class to make it much difficult.,0.0
"Regardless the fact that he is a very funny friendly mate,the class is really hard. Way too many readings. The class have interesting contents.",0.0
"The quizzes are very tricky and difficu to do well,the grades structures are very not make any sense,readings are totally boring,you need to know alot Japanese terms for exams,grades solely depends on TAs. Not recomend his class as a good General Education, take some other classes. Tas' not  helpful.",0.0
Never trust anything you see about comments on this professor. This class is extreme hard for a Gen Ed. The exams and quizzes are hard and very tricky. Memorization cannot guarantee you do well. Paper grades by TAs are totally not genuine. The class is not organized. Intructios are entirely vague. The class is very difficult for a Gen Ed.,0.0
"There are surprise quizzes in class, but he covers many aspects of Japanese culture, and the material is not difficult to understand.  Most of what is on quizzes and exams is stressed during lecture.  Just show up and read lecture notes and you'll learn and do well in the class.",1.0
"Although I got an A for this class, it was not a super easy class as described here. Grading of paper was not that generous, and quizzes were somewhat tricky. You have to memorize all the details in order to succeed in this course.",1.0
Great professor with a great personality! Loves to get personal with his stories and experiences! Reading load is manageable attendance to lectures are fun because of weekly films. Great class.,1.0
"Easy A if you are good with memorization. Lots of readings but not necessary. Must attend class due to amount of pop quizzes. For finals, memorize the lecture notes and you will do fine. I memorized the lecture notes for both midterm and final and got an A+ on both, without reading the required texts.",1.0
Teaches EALC 250. NOT an easy class.. it seems like he has changed his class to make it more difficult. Lots of reading and difficult material to understand. Attendance is basically mandatory because of all the pop quizzes. The prof is fun and quirky but I would not recommend this class if you are looking for something easy.,1.0
"This is not an ""easy A."" It's not an easy A. If you take this course be ready to do lots and lots of readings. Although attendance its not mandatory, be there because you can miss pop quizzes. It's not hard by any means too, but not an easy A.",1.0
"An easy A, but not quite a gimme.  You don't have to do the readings, but make sure you know the notes. I found the course very interesting, which is why I went nearly everyday, but he provides the notes so if you miss a day here and there, it's no big deal.  Ruppert's a little quirky, but knows his stuff and really gets into it when he teaches.",1.0
"
                      listen, this course not only gives u good knowledge about J culture and also easy A, here's how, he gives all the readings-pretty general, dont really need to read, but get general sense on terms he gives you for test in regard to readings(wiki help) tests are heavly depend on lecture go there fill them out, get asian ta for easy essay grading
                  ",1.0
"This class was super fun, I always had a good time reading the book and doing discussions. It was super easy, I had near 100% going into the final, and then the final got a MASSIVE curve from what I can tell. I would take this again.",1.0
"His instructions are not clear and sometimes disccusions are graded pretty harshly, overall it's an easy class",0.0
"This class is hard, but its a two-in-one gen-ed knockout, and the content is very stimulating. Unlike most classes, you have to actually participate to pass. Sections are easy and offer extra credit every week. Very funny dude. Not much more I can say.",1.0
Definitely going to choose Prof. Looney's class again! Interesting class and easy A. You can bring notes to exams so you don't need to remember a lot. Lots of bonus points available and the observatory sessions are awesome!,1.0
I overall enjoyed this class because the assignments were straightforward and interesting. I just didn't enjoy the video project because I felt like no one in my group cared enough to help.,1.0
"Yes, it's possible to get an A but you'll definitely have to work for it. The content is pretty interesting, but you have tog get super organized in this class. You'll have multiple things due every week and a ton lectures to go over. If possible, I'd avoid this class as an 8 week course. You'll definitely always have somethingto do in this class.",1.0
"Professor Looney has great knowledge in Astronomy, while he can explain them in a super easy way in an elementary class. He taught this class with great passion and great illustration. This class is definitely fun to take. If you are interested in further knowledge that this class won't cover, don't hesitate to ask him. Great teacher.",1.0
"Looney is a super funny guy and this class was really interesting. It wasn't a complete blow off, but it wasn't too bad. Just do all the homework/observation sessions and study a bit the night before exams and you should pull an A. I would definitely recommend him for a science gen ed. There was no text book and no final.",1.0
"Professor Looney is the BOMB.  He is a truly good teacher, and really explains material thoroughly.  He is also absolutely hilarious and makes me laugh every class.  I would highly recommend him and this course to anyone - I am far from a science-lover, but this class has helped me enjoy, I repeat, ENJOY science!!",1.0
"Professor Leslie Looney is honestly amazing. I would call this my first positive experience with a science class!  In addition to being truly GOOD at teaching, he makes class interesting.  I literally lol almost every period.  LOONEY FOREVER!!!",1.0
Looney is a beast.  Best prof on campus and this class is extremely interesting.  It is the easiest astronomy and physical science class you will find.,1.0
"The homework, exams, and lab could trip you up if you're expecting a blow-off class, but otherwise its great.  Looney is very enthusiastic and the course is full of interesting content",1.0
He is one of the most enthusiastic and off the walls professors you'll ever meet. His grading is very fair. The exams aren't bad considering you can use a notes sheet. There's lots of Iclickers so you have to show up to class. There's no book used. Take this class its fun and interesting!,1.0
"""Sexy Boy"". Killer Skies was one of the best classes I've taken. Looney kept me excited for class and did presentations effectively and with great humor. Highly recommend him in general. Online quizzes were tough but given multiple chances. Exams are somewhat hard so study. Never a dry moment, great guy, great topics. You're gonna have fun. Ciao",1.0
"Excellent professor. Hilarious, fun, and good.",1.0
"Loved his Killer Skies class! He's very funny and allows you to bring in a sheet of notes for each test and even the final! Theres no textbook, but you have to use his ppt slides alot for the HW and cheat sheets. The HW is quite hard tho, even with the ppt slides given to you. But you get unlimited number of tries, and the highest score is taken",1.0
"A kind, knowledgeable, phenomenal teacher.  I would recommend any of his classes. He is hilarious, engaging, and intelligent.  This class was so far from my major, and yet I enjoyed class everyday.  Study, its astronomy.  But Looney is fantastic.",1.0
"I hnonestly can say that Leslie Looney is the only reason I go to class (that, and the iclicker credit). I can't say that I've actually learned anything in this class, though Looney is fairly entertaining.",1.0
He is absolutely AMAZING! A complete riot and wonderful professor. Class is NEVER boring and something new is taught daily. Online homework is a breeze and tests aren't horrible. Studying is necessary for them though.,1.0
"
                      He is AMAZING! The funnest class I have had all semester. He's knows his material and is always willing to help.
                  ",1.0
"Taken for CHP Micro. If you're hoping to learn about econ, take it with another professors. I know indifference curves are important and that's literally it. But taking a course with him is worth it anyway. Magelli's lived an incredible life and his stories and insights are worth it. Plus, it's a super-easy A.",1.0
"I took the Campus Honors Program Economics course with him, and it was great. Magelli is the man - he has so many stories that keep class interesting. Also one of the easiest A's I've ever received - just sit in class and do one presentation at the end of the semester. Definitely take him",1.0
"The class itself was very interesting, you get to listen to different speakers every week, all you have to do for the class is to attend the class, which consist 50% of the grade, and the other thing you have to do is to write two papers, one summary takeaway of the class, and another book review, within 5 pages for both papers.",1.0
I had him for Econ 101.  He is a tad boring but he is  a great guy and is someone you should know. Easy A,1.0
"ITS TRUE. EASY A. JUST COME TO CLASS & LISTEN TO ALL HIS ACCOMPLISHMENTS. WARNING: THIS CLASS IS SCHEDULED FOR  1 HOUR AND 50 MINUTES OF BOREDOM. ONLY ONE FINAL PROJECT, WHICH IS A GROUP PROJECT ON THE TOPIC OF YOUR CHOOSING.",1.0
"I had him for my CHP Econ class, and I highly suggest it. You want to know this man. That's all I can say. He's so nice and genuinely cares about everyone's success. I would say he is the best professor to get to know on campus. The class was an easy A when I took it, but even if for some reason it became a super hard B or C, it's beyond worth it.",1.0
"i had him for ECON 101 (combined micro and macro for students in the campus honors program) and i definitely recommend that class to everyone in the chp. you get your econ gen-ed credit, there's absolutely no homework, quizzes, or tests, and he doesnt believe in grades so everyone gets an automatic A. he tends to ramble, but hey its a free A people",1.0
"An amazing entrepeneur, an amazing man. My best professor at U of I, though perhaps not the greatest teacher.",1.0
"Terribly interesting individual, unfortunately his passion for economics had no effect on me, though he definitely knows his stuff. Unhelpful book, but plenty of supplemental materials given out in class. You want to know this man.",1.0
"Shows passion for the material, but the lectures were boring, and having the class @ 8AM didn't help. Textbook was useless. Classes didn't really help for test. Discussion class and memorizing definitions are most important.",0.0
"I had Magelli for Econ and Foundations, he is a brilliant business professor but falters on a few levels. He teaches his econ class like it's for grad students, so freshmen just trying to finish the gen-ed have troubles. He is by far the BEST business proff on campus. Take one of his non-Econ classes and you will learn more than any other class.",1.0
"One of the worst teachers ive had. magelli's a smart guy, but his lectures have nothing to do with the reading, and both the reading and the lectures have nothing at all to do with the tests. would not recommend him.",0.0
Very smart man but a terrible teacher. Attendance is mandatory however I learned absolutely nothing during lecture. His lectures are related to the subject however only the vocab words he defines will be on the test. The book was required yet he never made a reference to it. He curves the tests a lot though; I learned nothing and ended up with a B.,0.0
"He definitely knows his stuff, but has a hard time teaching it. His lectures have nothing to do with anything on the tests. I never stayed awake through an entire lecture once. Be careful though, he calls people out on sleeping. Pay attention in discussion and read the book, I got a 60% on all the tests, but with the curve, I got a A-",1.0
fair,0.0
"Magelli's lectures did not have any correlation with the book. But his tests are based on the lectures and sometimes the book. Magelli is easy compared to Gottiel. He curves all the exams. I failed all the exams in his class but because he curved them all, I ended up with a B in his class. He gives extra credit and attendance points.",0.0
"Interesting guy, but his (mandatory) lectures really have nothing to do with the book or discussion.  Go to discussion, read the chapter summaries, review often and you'll be ok.  Oh, and don't fall asleep in lecture, he'll call you on it.",1.0
"Has a lot of knowledge, but if you have not done econ before you are going to be swept off your feet. his lectures are so off the topic, although related to econ but not the material on which you will be tested.",1.0
Totally full of himself.,0.0
"
                      Lectures have nothing to do with the material you will be tested on. He mostly just talks about himself, tells stories and gives examples that you will never use. Lecture is pretty much pointless, but you have to go because of the attendence quizzes. Make sure you read the book and go to discussion. If you get him, try and get out of his class!
                  ",0.0
"I loved her class. She isn't the one given you your grades, that is dependent on the TA, but she is an amazing lecturer. She always kept me engaged.",1.0
"Professor Crowston knows what she's talking about. It was quite an interesting class. Need 2 books- textbook and sourcebook. 2 papers, one midterm, and a final. She definitely tries to give you as much background and useful information as possible when explaining slides. overall good class and good teacher.",1.0
Your grade depends on your TA. Show up to lecture and get participation credit for iClicker questions.,1.0
Dr. Crowston treats every student with a positive attitude. Since this is a honors class extensive amount of writings and readings are expected. She is very rewarding so every one will earn an A. She is talkative and an amazing lecturer,1.0
"She is a good lecture, the class is interesting, but exams and papers are somehow challenge because not only need a lot to memorize, also understanding important themes to do well, 3 exams, 1 paper and the rest are attendance grades, still recommend this class",1.0
"i took this class last spring. prof crowston is a great lecturer, i think. but her exams are a little hard; lots of ID's and you are held accountable for a lot of primary sources. The class isn't ridiculous, but you should be ready to do some work. this is not a blow-off class.",1.0
"IF you are not required to take this class, I highly recommend you stay away from this class.  The exams require too much information to be memorized, and you do not get enough time on the exams to express what you have learned. Grade depends solely on the TA.",0.0
"Annoying difficult for a gen ed. The tests are almost impossible to study for. 60 Id terms and you have to write a huge amount on four? Ridiculous. Overall, the grade is decided by TAs, so hopefully you'll get a good one.",0.0
This class was so hard.  The tests were nearly impossible to study for.  There was so much information that you could not know it all for the exams.  I also had a bad TA so that may have had something to do with it.  I would advise not taking this class if you have a choice.  The lectures are long and boring and the exams are nearly impossible,0.0
She is a horrible lecturer. Her lectures are so boring and she spends half the time telling you what she is going to talk about LATER on but never gets to it. This class was easy because lecture wasn't mandatory and the only assignment we had was a paper but I had to read a lot and the tests were graded pretty hard.,1.0
She is a very boring lecturer. I cannot stay awake for her class but the slides are helpful and the exams are essay extensive.  Study the material well and you will do fine. no homework- just a paper and 3 exams.,1.0
Great lecturer and really cares.  Overall class depends on TA but highly suggest crowston for just a solid elective,1.0
Lecture is useless since all essays and IDs for tests are given before hand and all you need to do is read the book. You do need to study a decent amount but the material is easy. Just be prepared to do a lot of reading. Discussion attendance is mandatory but you can get EC at the end to make up for it if you dont go.,0.0
"Like most beginner level history classes this one really depends on the TA you have. Prof. Crowston is a great lecturer, she is passionate about what she does and it's obvious to students. She and her TA's want their students to succeed but you do need to put in a little effort. She doesn't cover all topics in lecutre but does say to read the book!",1.0
"Fairly easy course. A lot of writing, whether it is on exams or for essays. Lecture notes are put online. Lectures follow a clear and simply outline. She is passionate about early modern European history and it shows.",1.0
"She's knowledgeable, but so are most professors.  Her lectures had fun bits with personal anecdotes but generally seemed pretty similar to the book.  They were interesting but helped me little in preparing for the exams.  Book all the way.  Exams were ridiculous - prepare 5 or 6 essays when ONE will be written?  60+ id terms to write 5?  Stupid.",1.0
"I took her Hist 140 class in Spring 2006. Overall, it was very boring. At least I completed my history gen ed requirement.",0.0
"Pretty easy class, gives you all the possible id terms and essay questions for each exam.  Class notes online and kinda pointless anyways.  As long as you define the terms she gives using the book you can get a pretty good grade.",1.0
"Her lectures can get bogged down when she focuses too much on one detail and doesn't get to the main points. It's possible to get a solid B without reading the book, or without going to lecture but probably not both.  Go to section, it helps you understand concepts and attendance is taken.",1.0
"
                      She's good, class wasn't too bad. It involved a lot of small writing assignments, a bunch of 2-3 pagers, no tests. If you are good at writing, she is def. your teacher for this class. If not, you may find yourself extremely frustrated with your grades after each assignment.
                  ",1.0
"Took ADV 311 by him because I wanted another ADV class for transferring into the major. You learn either from taking notes from his lecture (BTW he has no background slides - you need to listen well) or reading the books. BUT some of the books (""Mirror Makers"") were not useful at all. Nice guy, but really need to put in work for this class.",1.0
"Nice guy, engaging speaker, interesting class... but exams and quizzes are ridiculously hard. You NEED to go to class. He gives study guides but they're not worth much if you don't take class notes.",0.0
"Pretty interesting material. Guy loves to hear himself talk, but does a good job engaging students and facilitating discussion. Pretty easy assignments.",1.0
"LOTS of memorization, be ready for a history class/ minority class hybrid. but it is interesting. Just exams and one group project. Ended up with an A but you have to take notes and study! book is exactly like lecture though so I never read it.",1.0
"His class drags, and he really loves to hear himself talk. Haven't taken notes since the third week and have gotten A's on tests and quizzes. Group Project is very painful, unless you have a good group. Can easily get an A if you study.",1.0
"Class is daunting at first, but you learn quickly that reading is not as required for a good grade as everyone makes it out to be. Study guides are given for tests and if you have any competence at all as a student you can receive a good grade without excessive effort. Lectures are all but useless however. Group project is annoying, but not bad.",1.0
"This class is awful, avoid it if you can. Chambers is arrogant and rude. Says attendance is mandatory but he doesn't take it everyday. 4 books, useful for tests. HARD GRADER. 25 page ""paper"" due at the end. Tests are okay, MC and T/F. 3 essays.",1.0
"Chambers gets a bad rap for being too hard - that's only because everyone else in Advertising is easy! Chambers expects you to treat class like it's your job. He has scaled back difficulty recently but if you are going to take him, realize you are going to need to put effort and take notes for the reading. You will learn in his class.",1.0
He is not a good professor. He likes to hear himself talk and the notes are not helpful for the exam. His grading is harsh and subjective. Don't take this class.,0.0
"He has a thorough knowledge on the material, however his teaching style is not effective. He lectures, in the worst sense of the word, and spends a lot of time divulging on important but also trivial details. The class can become a drag. His grading is very subjective and his exams are not very cohesive with the lectures.",0.0
Jason chamber is very harsh on grading. I really regret taking this class. i think he is more suited as a scholar than a professor. His classes are very un-interactive and boring. He emphasize too much on tedious information. I am glad that the semester is coming to an end.,0.0
"Arbitrary grader, you need to memorize the material and have to have photographic memory to pass this class because he tests you and useless, insignificant, banal details. Has no experience in an ad agency, yet grades your group project like he has Leo Burnett on speed dial. Loves to hear the sound of his own voice, preaches instead of lectures.",0.0
"So far I'm enjoying ADV 412, I was so scared coming into it but Professor Chambers is EXTREMELY clear so I really don't understand how people can even come close to doing badly in this class. Take this class if you're smart or dedicated to advertising!",1.0
